,Bowler_id,econ,wickets,deathecon,deathoverwickets,Bowling_type
0,1,7.693,9,16.0,0,Right-arm medium
1,4,8.675,7,11.786,2,Right-arm offbreak
2,5,5.81,2,5.81,0,Right-arm offbreak
3,8,8.045,5,12.222,1,Right-arm fast-medium
4,9,7.411,50,9.59,18,Legbreak googly
5,10,10.565,1,10.565,0,Right-arm medium
6,12,7.306,7,10.588,2,Right-arm fast-medium
7,13,8.4,1,5.5,1,Right-arm medium
8,14,7.037,76,9.588,35,Left-arm fast-medium
9,15,7.043,86,8.532,30,Slow left-arm orthodox
10,16,8.945,1,11.143,1,
11,21,6.958,27,8.044,8,Right-arm fast-medium
12,22,8.41,13,7.816,8,Right-arm offbreak
13,24,8.239,0,8.239,0,Right-arm medium
14,25,8.764,14,10.991,6,Right-arm offbreak
15,27,7.141,32,7.947,6,Slow left-arm chinaman
16,29,7.239,84,8.681,37,Right-arm medium
17,31,6.877,39,9.037,4,Right-arm fast-medium
18,32,6.963,87,8.292,47,Right-arm offbreak
19,35,7.302,64,8.081,13,
20,37,8.235,1,7.0,0,Legbreak googly
21,38,6.908,59,8.475,18,Right-arm medium
22,39,7.091,53,8.476,22,Legbreak
23,41,10.13,6,13.636,2,Right-arm offbreak
24,42,7.959,1,7.959,0,
25,44,7.475,16,8.361,4,Right-arm medium
26,45,5.182,3,5.182,0,Right-arm medium
27,48,7.808,8,9.0,1,Right-arm fast-medium
28,49,6.364,13,8.0,0,Right-arm offbreak
29,50,6.63,112,7.744,24,Legbreak
30,52,10.615,0,10.615,0,Right-arm offbreak
31,53,0.0,1,0.0,1,Right-arm offbreak
32,54,8.892,7,13.25,1,Right-arm offbreak
33,56,7.289,23,10.094,6,Right-arm offbreak
34,57,7.456,16,8.082,7,Right-arm medium
35,58,7.297,9,10.273,7,Right-arm medium-fast
36,59,8.314,6,14.0,1,Left-arm fast-medium
37,60,7.188,22,10.898,4,Left-arm fast-medium
38,61,7.14,82,8.385,44,
39,63,7.896,15,8.341,8,Right-arm medium
40,66,6.825,20,7.884,10,Legbreak
41,67,7.333,106,8.156,25,Right-arm medium
42,68,7.52,4,11.04,1,
43,70,7.135,9,9.081,2,Right-arm medium-fast
44,71,7.558,107,8.292,62,Right-arm medium
45,72,10.2,2,11.5,1,Left-arm medium-fast
46,73,7.264,92,8.433,45,Right-arm offbreak
47,75,8.74,4,12.588,0,Legbreak
48,77,7.045,38,10.17,8,Right-arm medium-fast
49,78,8.588,16,8.378,11,
50,80,7.111,72,7.852,18,Right-arm medium
51,81,7.931,90,9.744,41,Right-arm fast
52,82,8.137,29,9.33,8,Slow left-arm orthodox
53,83,6.807,31,7.935,7,Right-arm fast-medium
54,84,7.325,50,9.75,9,Right-arm medium
55,85,5.0,1,5.0,0,Right-arm offbreak
56,86,7.966,2,9.0,1,Legbreak googly
57,87,11.211,1,12.462,1,
58,89,7.168,59,8.288,12,Right-arm fast-medium
59,90,6.721,33,8.571,13,Right-arm medium-fast
60,91,7.989,19,7.406,11,Right-arm medium
61,93,20.0,0,20.0,0,Right-arm fast
62,94,6.139,73,7.317,39,Legbreak googly
63,98,8.348,2,9.3,1,Right-arm medium-fast
64,99,10.2,2,17.0,0,Slow left-arm orthodox
65,102,5.57,24,6.336,18,Right-arm offbreak
66,104,7.412,17,7.667,3,Right-arm fast-medium
67,105,6.51,14,8.83,5,Right-arm medium-fast
68,106,7.374,64,10.134,25,
69,108,9.692,1,9.692,0,Right-arm medium-fast
70,109,7.495,82,8.68,33,Right-arm medium
71,111,21.0,0,21.0,0,Legbreak googly
72,112,9.333,1,9.333,0,Legbreak
73,115,8.333,7,9.947,1,Left-arm medium
74,116,7.57,34,8.87,9,Right-arm fast-medium
75,117,8.714,9,9.333,5,Right-arm fast-medium
76,118,6.419,14,8.886,3,Right-arm fast-medium
77,119,8.868,13,11.127,3,Right-arm medium
78,120,8.051,31,9.871,5,Right-arm offbreak
79,121,6.231,51,7.585,19,Right-arm fast
80,122,6.704,8,8.108,3,
81,124,6.269,48,7.069,18,
82,126,7.201,61,10.108,20,Right-arm medium
83,127,17.294,0,15.0,0,Right-arm offbreak
84,131,6.975,84,8.768,21,
85,133,9.243,0,19.0,0,
86,135,7.876,5,7.44,1,Legbreak
87,136,6.925,107,8.947,27,Right-arm fast-medium
88,137,6.832,12,9.111,0,
89,140,6.812,39,8.081,7,Right-arm medium
90,142,7.935,1,7.935,0,Right-arm medium
91,143,7.253,4,9.2,1,Right-arm fast
92,144,6.522,5,6.522,0,Slow left-arm orthodox
93,145,9.857,0,9.857,0,
94,147,8.122,22,11.129,4,Right-arm offbreak
95,148,8.526,2,3.429,1,Right-arm fast-medium
96,149,6.723,19,8.133,7,Right-arm offbreak
97,150,9.938,0,13.0,0,Right-arm medium-fast
98,151,7.441,69,9.533,35,Legbreak googly
99,153,6.786,14,8.75,2,Right-arm offbreak
100,154,6.729,22,8.842,3,Right-arm fast-medium
101,155,9.545,2,14.5,1,Left-arm fast-medium
102,156,6.333,10,9.625,6,Right-arm medium
103,157,7.394,10,12.692,2,Right-arm offbreak
104,158,6.833,8,9.75,2,Right-arm fast-medium
105,159,6.667,1,9.0,0,Left-arm medium-fast
106,160,7.729,14,8.5,5,Right-arm medium
107,161,7.775,13,9.714,2,Right-arm offbreak
108,162,6.995,19,7.885,9,Right-arm fast-medium
109,163,7.574,36,9.0,5,Right-arm medium-fast
110,165,5.76,6,8.143,2,Legbreak googly
111,166,7.715,37,9.778,2,Right-arm medium
112,167,7.804,7,8.7,2,Right-arm medium
113,169,8.8,0,6.5,0,Right-arm medium
114,171,6.0,0,8.0,0,Right-arm medium
115,174,7.137,8,8.667,3,Slow left-arm orthodox
116,175,6.65,28,7.952,7,Slow left-arm orthodox
117,177,6.409,23,7.469,7,Right-arm offbreak
118,178,7.697,7,11.28,2,Right-arm fast-medium
119,179,8.796,5,14.0,0,Right-arm medium
120,180,6.75,1,6.75,0,Slow left-arm orthodox
121,181,7.514,5,11.077,0,Left-arm medium
122,182,4.286,1,4.286,0,
123,184,5.463,3,10.154,1,Right-arm offbreak
124,185,7.784,0,7.784,0,Slow left-arm orthodox
125,186,7.723,40,9.344,10,Legbreak
126,188,6.923,38,8.776,23,Right-arm fast-medium
127,189,7.674,4,12.857,0,Right-arm fast
128,190,7.081,56,8.657,22,Right-arm fast-medium
129,191,7.724,20,8.308,8,Right-arm offbreak
130,192,6.575,16,7.444,6,Legbreak
131,193,6.6,2,6.0,0,Right-arm fast
132,194,6.0,133,6.554,85,Right-arm fast-medium
133,195,11.571,0,11.6,1,Right-arm medium-fast
134,196,7.444,19,9.889,10,Right-arm medium
135,198,8.266,8,10.2,3,Right-arm offbreak
136,199,9.75,4,9.75,0,Right-arm medium
137,201,6.127,82,7.045,17,Right-arm offbreak
138,206,8.757,6,12.909,3,
139,209,9.458,6,16.889,1,Right-arm medium-fast
140,210,8.387,13,9.682,7,Right-arm offbreak
141,211,8.591,0,12.0,0,Legbreak
142,213,10.105,3,7.895,2,
143,215,7.946,15,10.219,6,Right-arm medium
144,217,6.511,3,6.0,0,Right-arm medium
145,218,7.745,6,13.846,0,Slow left-arm orthodox
146,219,8.0,0,8.0,0,Right-arm fast
147,220,6.848,9,9.0,2,Right-arm medium-fast
148,221,7.875,46,9.423,18,Legbreak
149,222,9.404,5,12.0,3,Left-arm fast
150,223,6.392,33,8.092,19,Right-arm medium
151,226,10.354,6,19.667,2,Right-arm offbreak
152,228,7.679,18,14.69,1,Right-arm medium
153,229,10.0,1,10.0,1,Slow left-arm orthodox
154,230,7.929,1,5.0,0,Right-arm offbreak
155,232,7.711,57,8.881,29,Right-arm medium-fast
156,233,7.353,10,7.85,4,Left-arm fast-medium
157,234,8.02,15,8.2,6,Right-arm offbreak
158,235,6.924,26,8.692,4,Right-arm medium
159,238,6.258,17,6.981,12,Legbreak googly
160,240,8.769,0,13.579,0,Right-arm medium
161,241,6.667,5,5.478,3,Right-arm fast-medium
162,242,6.473,13,7.469,4,Right-arm medium
163,243,7.189,6,10.286,0,Right-arm medium
164,244,8.615,8,10.376,5,Right-arm medium-fast
165,245,8.63,5,9.692,1,Right-arm medium-fast
166,246,7.74,15,9.529,9,Right-arm medium
167,248,6.63,35,7.041,21,Slow left-arm orthodox
168,249,16.333,0,16.333,0,Right-arm medium-fast
169,253,7.376,16,8.78,7,Slow left-arm orthodox
170,254,9.0,0,5.143,0,Right-arm medium
171,255,7.172,17,9.443,2,Slow left-arm orthodox
172,256,7.296,23,7.467,9,Legbreak googly
173,258,7.361,11,11.636,3,Right-arm medium
174,259,7.918,6,12.5,2,
175,261,8.341,0,11.2,0,Right-arm offbreak
176,265,6.333,0,6.333,0,Slow left-arm orthodox
177,266,7.434,2,13.429,0,Left-arm medium-fast
178,267,6.499,24,7.682,14,Right-arm medium-fast
179,268,9.868,3,11.0,2,Right-arm offbreak
180,269,10.833,3,16.0,0,Left-arm medium-fast
181,270,7.415,43,8.824,13,Right-arm medium
182,273,7.278,5,8.625,1,Right-arm fast-medium
183,274,7.229,11,9.458,2,Left-arm medium
184,275,8.361,4,10.5,3,Slow left-arm orthodox
185,276,6.723,36,8.16,8,
186,278,7.233,8,9.0,3,
187,280,8.375,27,10.765,16,Right-arm offbreak
188,281,6.8,0,6.8,0,Right-arm fast
189,282,7.475,6,9.623,6,Slow left-arm orthodox
190,283,8.541,7,11.0,1,Right-arm medium-fast
191,284,6.361,2,8.571,0,Right-arm medium
192,286,6.781,12,10.8,0,Right-arm medium
193,290,23.0,0,23.0,0,Right-arm medium-fast
194,291,9.6,5,4.286,4,Legbreak
195,293,6.888,19,8.919,2,Left-arm medium
196,294,8.264,4,8.78,2,Right-arm medium
197,296,7.719,24,10.047,9,Slow left-arm orthodox
198,297,7.482,1,13.714,0,Slow left-arm orthodox
199,298,8.211,2,5.5,1,Right-arm medium
200,299,6.52,72,8.118,42,Right-arm medium
201,300,7.0,0,7.0,0,Right-arm medium-fast
202,301,6.75,0,3.0,0,Slow left-arm orthodox
203,302,7.703,10,8.769,2,Legbreak
204,303,16.0,0,16.0,0,Right-arm medium
205,305,9.37,3,5.0,0,Legbreak googly
206,306,15.0,0,15.0,0,Right-arm offbreak
207,307,7.284,0,9.736,0,Right-arm offbreak
208,308,8.0,0,8.0,0,Right-arm medium
209,309,7.25,17,8.058,6,Left-arm fast-medium
210,310,7.886,53,9.165,31,Right-arm medium
211,311,7.953,25,10.255,9,Right-arm fast-medium
212,312,7.44,0,10.0,0,Right-arm medium
213,313,8.667,0,10.0,0,Slow left-arm orthodox
214,314,6.76,8,10.615,0,Right-arm offbreak
215,315,6.041,56,7.027,29,Slow left-arm chinaman
216,316,7.107,15,7.613,5,Right-arm medium
217,317,17.5,0,17.5,0,Right-arm fast-medium
218,318,8.571,0,10.0,0,
219,321,7.402,8,9.168,5,Slow left-arm orthodox
220,322,7.982,10,12.279,2,Slow left-arm orthodox
221,323,8.75,0,13.0,0,Right-arm fast-medium
222,324,6.449,1,6.0,0,Right-arm medium
223,325,8.578,5,9.314,2,Right-arm medium
224,326,8.218,0,9.767,0,
225,328,6.091,0,9.0,0,Right-arm offbreak
226,329,6.805,5,6.805,0,Legbreak googly
227,332,8.464,0,8.464,0,Right-arm medium
228,333,7.754,19,9.692,7,Right-arm fast
229,334,8.018,35,10.253,15,Right-arm offbreak
230,335,6.205,4,6.0,0,Slow left-arm orthodox
231,337,14.211,0,14.211,0,Right-arm offbreak
232,340,6.0,0,6.0,0,
233,342,9.138,3,11.314,1,Right-arm fast-medium
234,343,9.067,0,12.9,0,Right-arm medium
