,stadiumName,tossWonChoseField,chaseWon,Total
0,Barabati Stadium,0.7142857142857143,0.42857142857142855,7
1,Brabourne Stadium,0.45454545454545453,0.45454545454545453,11
2,Buffalo Park,0.0,0.3333333333333333,3
3,De Beers Diamond Oval,0.3333333333333333,0.6666666666666666,3
4,Dr DY Patil Sports Academy,0.5882352941176471,0.5882352941176471,17
5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.5454545454545454,0.36363636363636365,11
6,Dubai International Cricket Stadium,0.5714285714285714,0.5714285714285714,7
7,Eden Gardens,0.48148148148148145,0.5925925925925926,54
8,Feroz Shah Kotla,0.5849056603773585,0.5283018867924528,53
9,Green Park,1.0,1.0,2
10,Himachal Pradesh Cricket Association Stadium,0.8888888888888888,0.4444444444444444,9
11,Holkar Cricket Stadium,1.0,1.0,2
12,JSCA International Stadium Complex,0.5714285714285714,0.7142857142857143,7
13,Kingsmead,0.3333333333333333,0.4,15
14,M Chinnaswamy Stadium,0.8620689655172413,0.5344827586206896,58
15,"MA Chidambaram Stadium, Chepauk",0.2916666666666667,0.3541666666666667,48
16,Maharashtra Cricket Association Stadium,0.75,0.625,8
17,Nehru Stadium,0.6,0.4,5
18,New Wanderers Stadium,0.75,0.625,8
19,Newlands,0.42857142857142855,0.2857142857142857,7
20,OUTsurance Oval,0.5,0.5,2
21,"Punjab Cricket Association IS Bindra Stadium, Mohali",0.7142857142857143,0.5714285714285714,7
22,"Punjab Cricket Association Stadium, Mohali",0.6,0.5714285714285714,35
23,"Rajiv Gandhi International Stadium, Uppal",0.5121951219512195,0.6341463414634146,41
24,"Sardar Patel Stadium, Motera",0.5,0.4166666666666667,12
25,Saurashtra Cricket Association Stadium,0.6,0.8,5
26,Sawai Mansingh Stadium,0.5757575757575758,0.696969696969697,33
27,Shaheed Veer Narayan Singh International Stadium,0.5,0.6666666666666666,6
28,Sharjah Cricket Stadium,0.6666666666666666,0.6666666666666666,6
29,Sheikh Zayed Stadium,0.42857142857142855,0.42857142857142855,7
30,St George's Park,0.0,0.5714285714285714,7
31,Subrata Roy Sahara Stadium,0.11764705882352941,0.35294117647058826,17
32,SuperSport Park,0.5,0.6666666666666666,12
33,"Vidarbha Cricket Association Stadium, Jamtha",0.3333333333333333,0.3333333333333333,3
34,Wankhede Stadium,0.5918367346938775,0.4897959183673469,49
